date,load,click,startup,createorder
20170801,7956811,20300,227213,152317
20170802,8431086,20895,230900,157737
20170803,8864601,22798,246191,163411
20170804,9122883,23082,270240,167116
20170805,8706891,20692,250445,173710
20170806,7700084,16638,220266,149358
20170807,8426250,22204,237394,155743
20170808,8691926,25424,238540,159233
20170809,8908295,23611,238406,149701
20170810,8880213,23431,237057,151217
20170811,9016046,71128,267677,155292
20170812,8546830,149436,294092,156312
20170813,7731600,186451,298864,134473
20170814,8740773,191404,330990,141770
20170815,7666716,75936,746280,149206
20170816,6567130,84850,2104194,152229
20170817,6285397,94890,2672639,153248
20170818,5851138,105810,3094241,155714
20170819,4889756,100366,3157530,155690
20170820,3823291,84213,3170506,133414
20170821,3966056,104298,3349044,139489
20170822,3870520,104344,3382659,143489
20170823,3747203,110105,3420203,144128
20170824,3631777,104516,3534499,145560
20170825,2995073,107421,3544060,147125
20170826,2107116,94175,3309487,143415
20170827,1644141,74748,3292857,130354
20170828,1662765,82795,3445179,148059
20170829,1626904,83683,3477948,123878
20170830,1529223,83237,3394737,118110
20170831,1464747,83588,3323863,120119
20170901,2503023,283962,3451816,139267
20170902,4370604,680915,3517192,133275
20170903,3951561,604133,3419429,110180
20170904,4413566,705899,3404573,115736
20170905,4624114,766687,3441072,121967
20170906,4777834,821274,3476908,127510
20170907,4965984,842404,3562024,133812
20170908,4849914,829893,3687069,144329
20170909,4716264,809999,3728507,143551
20170910,4124503,707985,3586187,114747
20170911,4717908,802502,3589680,124810
20170912,4906237,840013,3272807,129794
20170913,4910953,851017,2374950,130586
20170914,5068675,874670,2101182,131021
20170915,5058131,863139,1977740,138676
20170916,4759352,807973,1817261,139065
20170917,4306679,715943,1718900,114664
20170918,4987640,807466,1723464,128014
20170919,5180178,839933,1653435,131766
20170920,5185009,838169,1582243,132409
20170921,5228251,841986,1603150,132909
20170922,5079925,809117,1626950,137227
20170923,5071804,794698,1586374,137662
20170924,4710995,742410,1453057,119384
20170925,5153469,811960,1487913,128289
20170926,5155652,820958,1467948,130908
20170927,5216967,821243,1443848,131458
20170928,5510355,829852,1478994,131811
20170929,5687542,882985,1482289,137969
20170930,6366244,1003452,1534222,157538
20171001,7738050,1230837,1594829,193984
20171002,8482085,1356455,1585707,195480
20171003,7676610,1227626,1523301,178220
20171004,6556830,1035200,1451027,149913
20171005,6480209,1022359,1388820,162396
20171006,5183107,813572,1283766,147090
20171007,3844383,597914,1201458,124889
20171008,3097256,471629,1140454,95191
20171009,3523157,545043,1176269,102681
20171010,4083186,664230,1299680,111686
